high_level_substr,skewness,5-fold-average-f1,std_length,number_unique
multiple_substrates,-2.5418029472663886,0.4299007101777521,5.563305684453414,73
mono/di/trisaccharide,-2.384019501190467,0.41376717856866446,3.8611429536375503,24
capsule polysaccharide,-0.7909607812575631,0.7463127595865933,2.468959844117439,1
algal glycans,-1.9272386383952405,0.49016531294792165,7.285347078299155,5
pectin,-2.0587538336813536,0.3361112646219029,9.2697829664273,5
xylan,-2.297549902049294,0.539170868347339,7.0815208402641385,6
O-antigen,-0.5179502920798101,0.39152422896008815,1.589190210618454,1
galactan,-1.780839781989157,0.31273532668881504,5.567122878368785,5
alpha-glucan,-1.842032943791088,0.27341249600073125,1.8501148345942668,10
beta-mannan,-1.6354818955552264,0.20147342088805503,3.1604278339438867,4
cellulose,-2.0482800762322775,0.18990721418756465,8.588638185553805,2
chitin,-2.82486336009067,0.17277375256322627,3.034719725036204,2
glycosaminoglycan,-1.3773396035956698,0.07481654577306751,3.2783002832645987,3
beta-glucan ,-0.9038453406671558,0.08909544143411274,3.05085107923876,2
N-glycan,-1.8270337946154835,0.13624908424908427,2.796101181678127,1
exopolysaccharide,-1.682389100796169,0.07060695731849034,2.270584848790187,2
-,-5.05744283775753,0.08666666666666668,14.543039572248986,8
fructan,-0.4943826908963153,0.12108245766989398,2.49284690951645,6
alpha-mannan,-1.3548314484705788,0.48,4.4077853201547175,1
host glycan,-2.0684063340565917,0.06658811802232853,2.9920529661723823,1
xyloglucan,0.383921305217981,0.40777777777777774,2.5071326821120348,1
plant polysaccharide,-2.532729436352699,0.031721264071991905,2.562550812504343,1
glycoprotein,-1.745984065271851,0.024019957234497506,3.8166302763912916,1
human milk oligosaccharide,-0.9621850803024259,0.1716911045943304,6.1400325732035,3
hemicellulose,-0.5791582192928192,0.021052631578947368,8.142481194328912,1
