high_level_substr,skewness
multiple_substrates,-2.5418029472663886
mono/di/trisaccharide,-2.384019501190467
capsule polysaccharide,-0.7909607812575631
algal glycans,-1.9272386383952405
pectin,-2.0587538336813536
xylan,-2.297549902049294
O-antigen,-0.5179502920798101
galactan,-1.780839781989157
alpha-glucan,-1.842032943791088
beta-mannan,-1.6354818955552264
cellulose,-2.0482800762322775
chitin,-2.82486336009067
glycosaminoglycan,-1.3773396035956698
beta-glucan ,-0.9038453406671558
N-glycan,-1.8270337946154835
exopolysaccharide,-1.682389100796169
-,-5.05744283775753
fructan,-0.4943826908963153
alpha-mannan,-1.3548314484705788
host glycan,-2.0684063340565917
xyloglucan,0.383921305217981
plant polysaccharide,-2.532729436352699
glycoprotein,-1.745984065271851
human milk oligosaccharide,-0.9621850803024259
hemicellulose,-0.5791582192928192
O-glycan,
