0,1,2,high_level_substr
-2.293529,-3.3136394,-5.3641844,beta-mannan
-3.1916926,13.579752,1.773762,beta-glucan 
4.1853848,7.8198996,2.1735337,xylan
-6.9465957,7.2915764,-3.8090456,multiple_substrates
2.807427,9.642059,5.105579,multiple_substrates
-7.191438,-0.40976787,-5.938591,galactan
-0.9329808,-8.110795,-8.652368,galactan
-2.730807,4.2043905,1.9495263,fructan
-4.955869,-9.043117,-4.534573,glycosaminoglycan
-4.9462,-0.40606156,-4.8144417,xylan
4.7887683,3.467246,2.8482585,cellulose
-5.6344876,1.348496,-7.2861137,chitin
-4.1635,-0.69305724,-3.9801598,galactan
-2.185318,-3.9706328,-1.9666864,pectin
-0.23242961,-9.338308,4.1260653,mono/di/trisaccharide
-9.452292,4.172763,-1.7085329,mono/di/trisaccharide
-6.0102534,-3.0553496,-3.4275024,mono/di/trisaccharide
-2.6728423,-7.187849,2.8838859,glycosaminoglycan
-10.345065,3.5843456,-1.5767518,multiple_substrates
-2.3377998,-7.709263,2.112711,glycosaminoglycan
-2.0809958,-7.762045,2.4996133,glycosaminoglycan
-9.478984,3.4964025,-1.9789445,mono/di/trisaccharide
-8.966806,5.3386555,-2.6048725,mono/di/trisaccharide
-4.356358,-3.5391955,-6.314449,fructan
6.8133354,-5.340833,10.3625555,capsule polysaccharide
-6.2361035,-3.3335772,1.3618482,mono/di/trisaccharide
-1.336894,-10.687963,-1.0779452,algal glycans
-2.0490313,-3.8977556,-2.2022092,glycoprotein
-3.911716,-1.5233989,-6.391156,galactan
-2.412522,-5.9027147,-4.970007,beta-mannan
-2.456999,-8.854238,-8.258248,mono/di/trisaccharide
-3.4363875,-9.694525,-7.9700823,mono/di/trisaccharide
-3.3713317,-9.643751,-7.2727423,mono/di/trisaccharide
2.2360985,-8.351365,-2.288947,pectin
-9.25872,-1.421307,-7.4599543,pectin
3.494077,-1.9928907,9.260856,-
-6.836542,0.9552959,-6.29308,mono/di/trisaccharide
-5.5908437,0.14969829,-4.187632,multiple_substrates
3.4123857,9.63872,4.6102343,multiple_substrates
4.3594856,4.6679163,2.864379,cellulose
-6.8763885,7.3060975,-3.6682334,mono/di/trisaccharide
-2.2769248,-10.745151,-6.7077246,mono/di/trisaccharide
4.8923945,-0.46957332,10.104446,capsule polysaccharide
2.4331048,6.8402405,0.657055,xylan
-0.40796685,9.213686,-0.7530994,xylan
10.426745,-10.142227,9.670997,O-antigen
2.7126637,-5.245576,7.5682397,O-antigen
-4.615367,3.1578066,-1.240567,mono/di/trisaccharide
-2.0377963,-0.8830233,-3.2419252,multiple_substrates
-1.7234514,10.328211,2.8071642,multiple_substrates
-3.0496113,-5.630648,0.66453946,algal glycans
-2.060401,-8.599513,0.39791593,algal glycans
-2.9324112,-9.604709,0.12874079,algal glycans
-1.5711299,-9.92704,0.12985906,algal glycans
-2.6104999,-6.1295037,0.5981064,algal glycans
-2.1963449,-7.584174,-0.13362941,algal glycans
10.67546,-8.254677,6.315304,O-antigen
4.621578,-6.068349,4.290557,alpha-glucan
9.160246,-5.6489797,11.687498,O-antigen
6.597689,-4.1896324,10.385406,capsule polysaccharide
6.5212045,-5.163741,8.905099,capsule polysaccharide
6.6837287,-4.613476,10.590568,capsule polysaccharide
2.5642014,8.913279,2.5027606,xyloglucan
1.9016571,3.874042,1.7661493,xyloglucan
1.9880558,9.229722,1.1559542,xyloglucan
2.3071206,8.843396,2.0207107,xyloglucan
1.9880558,9.229722,1.1559542,xyloglucan
-1.2857978,-7.344424,-8.417948,mono/di/trisaccharide
4.212512,-2.1955752,9.90613,capsule polysaccharide
4.5812144,-3.6836162,8.8392315,capsule polysaccharide
4.347197,-3.4634655,9.079751,capsule polysaccharide
4.212518,-2.1955776,9.9061365,capsule polysaccharide
3.9766755,-1.5158082,10.173193,capsule polysaccharide
5.446035,-3.3449728,10.484726,capsule polysaccharide
6.1088004,-3.7596123,10.456286,capsule polysaccharide
6.315435,-8.677469,3.8540568,multiple_substrates
6.315435,-8.677469,3.8540568,multiple_substrates
-6.485605,-6.6524663,-4.308853,multiple_substrates
6.613007,-8.689388,4.6164794,multiple_substrates
6.613007,-8.689388,4.6164794,multiple_substrates
-1.7243783,-9.197807,0.7128037,pectin
-4.479976,-7.1502495,-5.69046,multiple_substrates
4.6293306,4.0459404,2.7352552,cellulose
5.041592,4.534854,1.0053651,cellulose
1.70078,9.463375,5.911935,cellulose
0.4526487,-9.522086,-1.1861894,cellulose
5.7271905,4.349744,1.8578446,cellulose
-6.74205,1.518242,-6.7579436,multiple_substrates
3.9988396,6.519823,2.8991854,cellulose
9.239095,-6.700172,7.1199865,O-antigen
-1.6119334,7.618908,4.803462,multiple_substrates
1.0231826,12.895303,3.7961915,multiple_substrates
0.784744,-0.9337311,-1.6485314,multiple_substrates
2.7338037,13.355079,3.1549,multiple_substrates
1.769988,13.958303,3.2768142,multiple_substrates
-1.6673174,7.7424088,3.8451574,multiple_substrates
-1.820031,7.681989,3.8452806,multiple_substrates
-2.126758,-1.6709373,-0.62167114,multiple_substrates
3.541237,9.099365,3.9649003,beta-mannan
-9.805412,4.210104,-0.9985512,mono/di/trisaccharide
-0.54458773,1.2559602,-0.61095905,multiple_substrates
0.32379293,-0.05083307,0.25785622,multiple_substrates
-0.8517616,-2.7973537,-1.5250968,multiple_substrates
-0.96115494,-2.655735,-1.404387,multiple_substrates
0.17724885,0.09536619,-0.22158036,multiple_substrates
0.40721396,0.92961276,3.1224208,multiple_substrates
-7.141811,-1.3683168,-6.3209667,multiple_substrates
0.4026333,-1.6457461,-2.845029,multiple_substrates
0.28681055,-1.9234078,-2.9784126,multiple_substrates
